Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
11,2,Rowan,SAFE,,,,3.0
11,3,Rowan,LOW,-1,,,9.0
11,4,Rowan,SAFE,,,,3.0
11,5,Rowan,OUT,-1,,1,4.0
11,1,Abbi,HIGH,1,,,3.0
11,2,Abbi,SAFE,,,,1.0
11,3,Abbi,OUT,-1,,1,8.0
11,1,Keith,HIGH,1,,,4.0
11,2,Keith,OUT,-1,,1,11.0
11,1,Amos,OUT,-1,,1,2.0
12,1,Georgie,HIGH,1,,,1.0
12,2,Georgie,LOW,-1,,,9.0
12,3,Georgie,HIGH,1,,,7.0
12,4,Georgie,SB,1,1,,1.0
12,5,Georgie,SAFE,,,,6.0
12,6,Georgie,SAFE,,,,2.0
12,7,Georgie,HIGH,1,,,2.0
12,8,Georgie,SB,1,1,,1.0
12,9,Georgie,LOW,-1,,,4.0
12,10,Georgie,WINNER,,1,,2.0
12,1,Christiaan,LOW,-1,,,2.0
12,2,Christiaan,HIGH,1,,,6.0
12,3,Christiaan,SAFE,,,,8.0
12,4,Christiaan,SAFE,,,,2.0
12,5,Christiaan,SAFE,,,,2.0
12,6,Christiaan,SAFE,,,,6.0
12,7,Christiaan,SAFE,,,,3.0
12,8,Christiaan,LOW,-1,,,2.0
12,9,Christiaan,SB,1,1,,3.0
12,10,Christiaan,RUNNER-UP,,,,1.0
12,1,Dylan,SAFE,,,,4.0
12,2,Dylan,SAFE,,,,11.0
12,3,Dylan,SB,1,1,,10.0
12,4,Dylan,HIGH,1,,,5.0
12,5,Dylan,SAFE,,,,1.0
12,6,Dylan,LOW,-1,,,4.0
12,7,Dylan,SB,1,1,,1.0
12,8,Dylan,HIGH,1,,,3.0
12,9,Dylan,HIGH,1,,,1.0
12,10,Dylan,RUNNER-UP,,,,3.0
12,1,Gill,SAFE,,,,6.0
12,2,Gill,SAFE,,,,4.0
12,3,Gill,SAFE,,,,5.0
12,4,Gill,SAFE,,,,8.0
12,5,Gill,SB,1,1,,8.0
12,6,Gill,HIGH,1,,,7.0
12,7,Gill,LOW,-1,,,4.0
12,8,Gill,LOW,-1,,,5.0
12,9,Gill,OUT,-1,,1,2.0
12,1,Illiyin,SAFE,,,,7.0
12,2,Illiyin,LOW,-1,,,8.0
12,3,Illiyin,SAFE,,,,4.0
12,4,Illiyin,SAFE,,,,4.0
12,5,Illiyin,LOW,-1,,,5.0
12,6,Illiyin,SAFE,,,,1.0
12,7,Illiyin,LOW,-1,,,5.0
12,8,Illiyin,OUT,-1,,1,4.0
12,1,Sumayah,HIGH,1,,,9.0
12,2,Sumayah,SB,1,1,,3.0
12,3,Sumayah,SAFE,,,,2.0
